idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt
1,1,1,1,1,9.97,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,2024-01-28
2,2,1,2,2,3.81,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,2024-03-25
3,3,1,3,3,7.8,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,2024-02-10
4,4,1,4,4,8.99,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,2024-01-27
5,1,1,5,1,1.4,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2024-06-15
6,2,1,6,2,8.4,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,2024-02-01
7,3,1,7,3,9.17,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2024-05-21
8,4,1,8,4,8.61,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,2024-05-30
9,1,1,9,1,6.02,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,2024-04-27
10,2,1,10,2,5.57,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,2024-02-25
11,3,1,11,3,,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,2024-06-04
12,4,1,12,4,4.94,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2024-05-20
13,1,1,13,1,7.78,libero convallis eget eleifend luctus ultricies eu nibh quisque id,2024-03-22
14,2,1,14,2,2.85,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,2024-05-12
15,3,1,15,3,1.71,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,2024-02-17
16,4,1,16,4,5.29,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2024-02-28
17,1,1,17,1,2.38,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,2024-01-26
18,2,1,18,2,8.02,eu mi nulla ac enim in tempor turpis nec euismod,2024-05-07
