idal_mat_not,fk_idmateria_almatnotcur,fk_idnota_almatnotcur,fk_idalumno_almatnotcur,fk_idcurso_almatnotcur,valor_nota,obs,createdAt,updatedAt
1,1,1,1,1,10,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,2024-01-28,
2,2,1,2,2,4,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,2024-03-25,
3,3,1,3,3,8,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,2024-02-10,
4,4,1,4,4,9,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,2024-01-27,
5,1,1,5,1,1,in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2024-06-15,
6,2,1,6,2,8,mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis,2024-02-01,
7,3,1,7,3,9,non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,2024-05-21,
8,4,1,8,4,9,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,2024-05-30,
9,1,1,9,1,6,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,2024-04-27,
10,2,1,10,2,6,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,2024-02-25,
11,3,1,11,3,,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,2024-06-04,
12,4,1,12,4,5,quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,2024-05-20,
13,1,1,13,1,8,libero convallis eget eleifend luctus ultricies eu nibh quisque id,2024-03-22,
14,2,1,14,2,3,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla,2024-05-12,
15,3,1,15,3,2,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,2024-02-17,
16,4,1,16,4,5,accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2024-02-28,
17,1,1,17,1,2,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,2024-01-26,
18,2,1,18,2,8,eu mi nulla ac enim in tempor turpis nec euismod,2024-05-07,
19,3,1,19,3,3,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,2024-04-20,
20,4,1,20,4,6,in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum,2024-06-23,
21,1,1,21,1,6,velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,2024-01-14,
22,2,1,22,2,10,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,2024-01-03,
23,3,1,23,3,,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,2024-02-19,
24,4,1,24,4,4,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,2024-05-09,
25,1,1,25,1,5,lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,2024-04-17,
26,2,1,26,2,,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh,2024-06-12,
27,3,1,27,3,7,a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,2024-04-12,
28,4,1,28,4,9,rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit,2024-05-17,
29,1,1,29,1,1,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,2024-02-28,
30,2,1,30,2,10,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,2024-01-17,
31,3,1,31,3,9,nullam orci pede venenatis non sodales sed tincidunt eu felis,2024-02-20,
32,4,1,32,4,1,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras,2024-04-21,
33,1,1,33,1,,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed,2024-01-14,
34,2,1,34,2,6,sit amet eleifend pede libero quis orci nullam molestie nibh in lectus,2024-04-15,
35,3,1,35,3,10,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,2024-04-19,
36,4,1,36,4,7,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,2024-06-03,
37,1,1,37,1,6,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,2024-04-03,
38,2,1,38,2,4,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,2024-03-26,
39,3,1,39,3,,sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,2024-03-30,
40,4,1,40,4,1,neque aenean auctor gravida sem praesent id massa id nisl,2024-02-20,
41,1,1,41,1,2,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,2024-05-12,
42,2,1,42,2,8,in purus eu magna vulputate luctus cum sociis natoque penatibus et,2024-02-18,
43,3,1,43,3,10,at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,2024-04-04,
44,4,1,44,4,8,integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,2024-06-19,
45,1,1,45,1,6,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,2024-04-19,
46,2,1,46,2,9,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id,2024-02-19,
47,3,1,47,3,8,nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,2024-05-03,
48,4,1,48,4,6,molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,2024-06-21,
49,1,1,49,1,,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,2024-03-19,
50,2,1,50,2,9,ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,2024-04-23,
51,3,1,51,3,3,pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue,2024-03-28,
52,4,1,52,4,4,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,2024-01-08,
53,1,1,53,1,,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,2024-06-21,
54,2,1,54,2,3,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,2024-01-11,
55,3,1,55,3,5,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin,2024-01-04,
56,4,1,56,4,5,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,2024-05-15,
57,1,1,57,1,5,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,2024-03-16,
58,2,1,58,2,2,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis,2024-05-24,
59,3,1,59,3,2,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,2024-03-09,
60,4,1,60,4,6,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,2024-04-05,
61,1,1,61,1,7,nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,2024-03-28,
62,2,1,62,2,4,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,2024-04-25,
63,3,1,63,3,,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,2024-04-25,
64,4,1,64,4,,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,2024-01-16,
65,1,1,65,1,4,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,2024-02-21,
66,2,1,66,2,10,justo in hac habitasse platea dictumst etiam faucibus cursus urna,2024-05-31,
67,3,1,67,3,10,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,2024-03-20,
